strategy,sharpe_gross,sharpe_net,max_drawdown_gross,max_drawdown_net,total_return_gross,total_return_net,win_rate_net,signal_accuracy,trades_taken,friction_drag_pct
SMA Crossover (10/50),-0.301,-0.358,-0.344,-0.352,-0.159,-0.178,0.491,0.502,281,2.336512099469513
Logistic Regression,-0.062,-0.579,-0.375,-0.439,-0.107,-0.317,0.479,0.508,211,26.81417783090921
"RSI Mean-Reversion (14, <30)",-0.584,-0.632,-0.26,-0.266,-0.186,-0.199,0.385,0.497,26,1.520179257608343
Momentum Sign (10d),-0.634,-0.908,-0.359,-0.42,-0.287,-0.369,0.482,0.495,299,12.140971542937487
LightGBM (Gradient Boosting),-0.463,-0.932,-0.468,-0.525,-0.31,-0.475,0.472,0.507,284,27.278634392022866
