budget_pct,n_flagged,threshold,precision,recall,f1
0.5,20,0.642884606584281,0.95,0.2878787878787879,0.4418604651162791
0.75,30,0.6082845362364565,0.9,0.4090909090909091,0.5625
1.0,40,0.5922124161673145,0.875,0.5303030303030303,0.660377358490566
1.5,60,0.5687857215854704,0.7666666666666667,0.696969696969697,0.7301587301587301
2.0,80,0.5603066596833011,0.6375,0.7727272727272727,0.6986301369863014
3.0,120,0.5419769476412069,0.4583333333333333,0.8333333333333334,0.5913978494623656
5.0,200,0.5283645840241336,0.29,0.8787878787878788,0.43609022556390975
